I,J,V
1055,445,1810952.0640260843
1055,1055,-3181325.4494668976
445,219,4434758.678872769
445,829,3658011.0884623416
1055,219,6658011.088462347
1055,829,14710012.696209619
219,219,-4434758.678872769
219,829,-3658011.0884623416
829,219,-6658011.088462347
829,829,-14710012.696209619
445,391,-3504762.9951450657
445,1001,-2720581.707207403
1055,391,-8720581.707207406
1055,1001,-4371607.62774502
219,391,3504762.9951450657
219,1001,2720581.707207403
829,391,8720581.707207406
829,1001,4371607.62774502
445,445,-929995.6837277029
445,1055,-937429.3812549385
1055,445,2062570.6187450592
1055,1055,-10338405.0684646
219,445,929995.6837277029
219,1055,937429.3812549385
829,445,-2062570.6187450592
829,1055,10338405.0684646
509,509,-1586885.061375056
509,1119,-3766638.9933925695
1119,509,-766638.993392582
1119,1119,-10416155.139938809
483,509,1586885.061375056
483,1119,3766638.9933925695
1093,509,766638.993392582
1093,1119,10416155.139938809
509,483,6023162.702913004
509,1093,3676268.5205635186
1119,483,6676268.520563504
1119,1093,6703601.166756739
483,483,-6023162.702913004
483,1093,-3676268.5205635186
1093,483,-6676268.520563504
1093,1093,-6703601.166756739
509,465,-4436277.641537948
509,1075,90370.47282905062
1119,465,-5909629.527170922
1119,1075,3712553.97318207
483,465,4436277.641537948
483,1075,-90370.47282905062
1093,465,5909629.527170922
1093,1075,-3712553.97318207
483,509,-184239.36491260666
483,1119,7981630.060842188
1093,509,1981630.0608421832
1093,1119,768422.8305287149
465,509,184239.36491260666
465,1119,-7981630.060842188
1075,509,-1981630.0608421832
1075,1119,-768422.8305287149
483,483,-10643679.709363613
483,1093,-4604267.986892309
1093,483,-1604267.986892312
1093,1093,-2222624.3630459905
465,483,10643679.709363613
465,1093,4604267.986892309
1075,483,1604267.986892312
1075,1093,2222624.3630459905
483,465,10827919.07427622
483,1075,-3377362.073949879
1093,465,-377362.073949871
1093,1075,1454201.5325172755
465,465,-10827919.07427622
465,1075,3377362.073949879
1075,465,377362.073949871
1075,1075,-1454201.5325172755
465,509,1771124.4262876736
465,1119,-4214991.067449566
1075,509,-1214991.0674495893
1075,1119,9647732.309410173
509,509,-1771124.4262876736
509,1119,4214991.067449566
1119,509,1214991.0674495893
1119,1119,-9647732.309410173
465,483,4620517.006450533
465,1093,927999.4663287492
1075,483,-5072000.533671245
1075,1093,-4480976.803710805
509,483,-4620517.006450533
509,1093,-927999.4663287492
1119,483,5072000.533671245
1119,1093,4480976.803710805
465,465,-6391641.432738207
465,1075,3286991.6011208175
1075,465,6286991.601120834
1075,1075,-5166755.505699368
509,465,6391641.432738207
509,1075,-3286991.6011208175
1119,465,-6286991.601120834
1119,1075,5166755.505699368
